danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.907,0.59,7,-6.941,0,0.115,0.359,3.47e-05,0.107,0.407,99.982,audio_features,5PLe67zeDKnMamxEZi9LrA,spotify:track:5PLe67zeDKnMamxEZi9LrA,https://api.spotify.com/v1/tracks/5PLe67zeDKnMamxEZi9LrA,https://api.spotify.com/v1/audio-analysis/5PLe67zeDKnMamxEZi9LrA,148840,4
0.641,0.838,8,-3.292,1,0.329,0.264,0.0,0.561,0.628,106.757,audio_features,52aLcfyEf3NvnxwlrluEB0,spotify:track:52aLcfyEf3NvnxwlrluEB0,https://api.spotify.com/v1/tracks/52aLcfyEf3NvnxwlrluEB0,https://api.spotify.com/v1/audio-analysis/52aLcfyEf3NvnxwlrluEB0,189000,5
0.631,0.754,2,-3.564,1,0.0284,0.0963,0.0,0.268,0.729,95.992,audio_features,0bPnT6i9H1p8Vd85GS6Z7I,spotify:track:0bPnT6i9H1p8Vd85GS6Z7I,https://api.spotify.com/v1/tracks/0bPnT6i9H1p8Vd85GS6Z7I,https://api.spotify.com/v1/audio-analysis/0bPnT6i9H1p8Vd85GS6Z7I,172253,4
0.702,0.794,3,-5.913,1,0.0562,0.00715,4.56e-05,0.11,0.37,103.972,audio_features,6J7WMB5GII6pEOzy687jhO,spotify:track:6J7WMB5GII6pEOzy687jhO,https://api.spotify.com/v1/tracks/6J7WMB5GII6pEOzy687jhO,https://api.spotify.com/v1/audio-analysis/6J7WMB5GII6pEOzy687jhO,162081,4
0.704,0.526,10,-7.492,1,0.0399,0.534,0.00713,0.11,0.2,125.886,audio_features,32Y3wufXTQKoVtNs23kwKi,spotify:track:32Y3wufXTQKoVtNs23kwKi,https://api.spotify.com/v1/tracks/32Y3wufXTQKoVtNs23kwKi,https://api.spotify.com/v1/audio-analysis/32Y3wufXTQKoVtNs23kwKi,168982,4
0.887,0.538,1,-6.071,0,0.136,0.35,0.365,0.0824,0.805,99.985,audio_features,0Y8OIyvMvyTpEUhfLupDoh,spotify:track:0Y8OIyvMvyTpEUhfLupDoh,https://api.spotify.com/v1/tracks/0Y8OIyvMvyTpEUhfLupDoh,https://api.spotify.com/v1/audio-analysis/0Y8OIyvMvyTpEUhfLupDoh,193165,4
0.739,0.303,4,-11.986,1,0.0322,0.731,0.000281,0.24,0.0499,122.987,audio_features,4bYRPHqa4EhjaEGuR4ZFrn,spotify:track:4bYRPHqa4EhjaEGuR4ZFrn,https://api.spotify.com/v1/tracks/4bYRPHqa4EhjaEGuR4ZFrn,https://api.spotify.com/v1/audio-analysis/4bYRPHqa4EhjaEGuR4ZFrn,381468,4
0.62,0.814,0,-3.192,1,0.0911,0.306,0.0,0.0977,0.654,92.714,audio_features,5IXdkgrT4lb9sKIb8tbOQ3,spotify:track:5IXdkgrT4lb9sKIb8tbOQ3,https://api.spotify.com/v1/tracks/5IXdkgrT4lb9sKIb8tbOQ3,https://api.spotify.com/v1/audio-analysis/5IXdkgrT4lb9sKIb8tbOQ3,168676,4
0.558,0.852,1,-4.733,0,0.332,0.0171,0.0,0.226,0.36,150.211,audio_features,7c6mnuoAHoopR1Ti2bCKz2,spotify:track:7c6mnuoAHoopR1Ti2bCKz2,https://api.spotify.com/v1/tracks/7c6mnuoAHoopR1Ti2bCKz2,https://api.spotify.com/v1/audio-analysis/7c6mnuoAHoopR1Ti2bCKz2,295947,4
0.697,0.496,0,-8.557,1,0.0268,0.202,4.41e-05,0.232,0.611,95.983,audio_features,1q4awzTCOsKK6l1CCtJ3Mn,spotify:track:1q4awzTCOsKK6l1CCtJ3Mn,https://api.spotify.com/v1/tracks/1q4awzTCOsKK6l1CCtJ3Mn,https://api.spotify.com/v1/audio-analysis/1q4awzTCOsKK6l1CCtJ3Mn,210347,4
